交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20260416,1433.52695835,1443.25671303,1426.24918,1429.02352772,1433.5758025,-4.552274780000062,-0.3175,2451284,3597294838.11
20260417,1367.6362,1388.150743,1367.50920521,1374.70883292,1429.02352772,-54.31469479999987,-3.8008,9682499,13631929446.08
20260420,1370.566849,1381.25394902,1367.6362,1378.27445587,1374.70883292,3.5656229500000336,0.2594,3645139,5127146041.45
20260421,1378.381913,1387.0761717,1377.40503,1379.36856483,1378.27445587,1.0941089599998577,0.0794,2175427,3074595191.72
20260422,1382.289445,1386.196977,1372.50107734,1376.9165885,1379.36856483,-2.4519763299999795,-0.1778,2691593,3793827534.34
20260423,1375.451264,1386.8807951,1372.6183033,1386.196977,1376.9165885,9.280388500000072,0.674,3770109,5332831150.92
20260424,1380.4333673,1425.15507104,1380.4333673,1424.77408667,1386.196977,38.57710967000003,2.7829,5545531,8003410999.07
20260427,1387.17386,1387.17386,1369.7853426,1370.7622256,1424.77408667,-54.01186107000012,-3.7909,7279774,10239763452.3
20260428,1369.589966,1376.80913137,1367.74365713,1372.520615,1370.7622256,1.7583893999999418,0.1283,3400442,4772513712.16
20260429,1372.520615,1377.16080925,1367.90972724,1368.77915311,1372.520615,-3.7414618899999823,-0.2726,3481313,4881691348.25
20260430,1367.6362,1368.77915311,1348.09854,1352.77780957,1368.77915311,-16.00134353999988,-1.169,5275267,7316111748.09
20260506,1333.5429833,1347.121657,1328.60972415,1343.214125,1352.77780957,-9.563684570000078,-0.707,4780604,6550750939.85
20260507,1343.214125,1355.913604,1338.33947883,1339.35543715,1343.214125,-3.858687850000024,-0.2873,4046147,5573286314.86
20260508,1339.95133578,1350.80450591,1338.32971,1341.25059017,1339.35543715,1.8951530199999524,0.1415,3336853,4582855939.26
20260511,1341.15290187,1341.15290187,1329.537763,1329.86013439,1341.25059017,-11.390455779999911,-0.8492,5713510,7790721392.36
20260512,1330.514646,1332.05812114,1319.2804915,1323.23686765,1329.86013439,-6.623266739999963,-0.498,5083743,6886304981.88
20260513,1323.1880235,1327.1932438,1307.069454,1313.01867147,1323.23686765,-10.21819617999995,-0.7722,5696787,7653257144.39
20260514,1307.069454,1337.41143998,1304.31464394,1311.14305611,1313.01867147,-1.8756153599999834,-0.1428,5524434,7428592859.47
20260515,1304.28533745,1308.31986424,1296.43119813,1302.13619485,1311.14305611,-9.00686126000005,-0.6869,5818365,7749366540.01
20260518,1305.115688,1311.64126644,1289.10457563,1292.416209,1302.13619485,-9.719985850000057,-0.7465,4966097,6594983723.16
20260519,1291.3416377,1299.24462117,1287.531794,1293.6861569,1292.416209,1.2699479000000338,0.0983,4325464,5719170335.47
20260520,1290.462443,1302.17527017,1283.624262,1284.601145,1293.6861569,-9.085011899999927,-0.7023,4748733,6271273747.82
20260521,1282.62784134,1292.92418816,1280.693613,1280.693613,1284.601145,-3.907532000000174,-0.3042,3886838,5112740390.89
20260522,1280.64476885,1281.58257653,1260.29629596,1260.3744466,1280.693613,-20.319166399999858,-1.5866,4915714,6372389481.7
20260525,1257.248421,1274.62716957,1247.479591,1256.15431204,1260.3744466,-4.220134560000133,-0.3348,4635276,5978725158.26
20260526,1255.63656405,1260.07161287,1240.65117883,1243.94327454,1256.15431204,-12.211037499999975,-0.9721,4593162,5867830633.19
20260527,1238.70718166,1288.508677,1221.2014383,1272.878549,1243.94327454,28.935274460000073,2.3261,8272791,10586574902.2
20260528,1260.17907,1273.855432,1241.618293,1246.48317034,1272.878549,-26.395378660000006,-2.0737,4588998,5895475019.48
20260529,1241.2275398,1298.277507,1240.64141,1295.346858,1246.48317034,48.863687660000096,3.9201,7647805,10037388211.15
